Date,Price,Open,High,Low,Vol.,Change %
01/07/2024,"78,824.33","78,531.93","79,536.22","78,427.79",163286438,22.18%
01/05/2024,"64,514.89","64,743.86","65,077.47","63,757.95",718032345,-0.19%
01/04/2024,"64,639.15","64,815.34","64,936.75","64,098.10",322736254,-0.01%
01/03/2024,"64,646.84","64,504.22","65,244.60","64,219.54",417377628,0.46%
01/02/2024,"64,349.60","65,120.39","65,333.69","64,213.62",424015769,-0.48%
01/01/2024,"64,661.78","62,969.99","64,718.88","62,672.96",339925632,3.54%
12/29/2023,"62,451.04","62,225.33","62,644.38","61,807.54",362722668,0.64%
12/28/2023,"62,052.23","61,130.13","62,750.77","61,092.27",378619990,1.95%
12/27/2023,"60,863.62","59,097.62","61,009.87","58,758.48",394318118,2.86%
12/26/2023,"59,170.97","61,606.46","61,634.55","59,026.81",396481194,-4.11%
12/22/2023,"61,705.09","62,838.18","62,995.21","61,569.13",333554752,-1.58%
12/21/2023,"62,693.56","62,742.26","62,850.09","61,750.97",526378529,0.39%
12/20/2023,"62,448.01","62,862.54","63,261.05","61,082.50",662624425,-0.61%
12/19/2023,"62,833.03","65,124.30","65,132.03","62,360.78",949995503,-3.64%
12/18/2023,"65,204.67","66,525.70","66,586.61","65,064.94",963383501,-1.40%
12/15/2023,"66,130.02","65,774.74","66,346.76","65,559.48",984029483,1.04%
12/14/2023,"65,450.18","65,323.06","65,622.55","64,437.69",407280839,0.26%
12/13/2023,"65,280.16","66,764.30","67,093.96","64,427.38",677143245,-1.73%
12/12/2023,"66,426.78","66,121.14","66,604.04","66,121.13",467331045,0.63%
12/11/2023,"66,012.32","66,162.29","66,564.04","65,128.99",613393284,-0.32%
12/08/2023,"66,223.63","65,055.17","66,273.73","65,055.17",818336744,2.33%
12/07/2023,"64,718.07","64,159.02","64,958.10","63,853.04",765341303,1.25%
12/06/2023,"63,917.72","63,205.42","64,038.83","63,188.71",515164227,1.53%
12/05/2023,"62,956.02","62,653.40","63,036.51","62,215.18",408331339,0.74%
12/04/2023,"62,493.05","62,061.57","62,912.61","62,061.56",368996167,1.30%
12/01/2023,"61,691.25","60,667.83","61,779.72","60,576.41",295893264,1.92%
11/30/2023,"60,531.27","60,787.90","60,981.67","60,428.13",232896884,0.05%
11/29/2023,"60,501.99","60,916.67","61,555.83","60,328.17",343522861,-0.38%
11/28/2023,"60,730.26","60,023.86","60,845.60","60,023.85",336599517,1.54%
11/27/2023,"59,811.34","59,298.90","59,896.08","58,999.30",276857891,1.23%
11/24/2023,"59,086.35","59,059.56","59,502.28","58,990.21",289169682,0.32%
11/23/2023,"58,899.84","58,246.21","58,920.41","58,246.20",306739122,1.20%
11/22/2023,"58,198.76","57,418.50","58,405.92","57,418.50",256574048,1.44%
11/21/2023,"57,371.58","57,176.46","57,691.22","57,176.45",355672819,0.51%
11/20/2023,"57,077.96","57,099.82","57,309.26","56,738.39",314736021,0.03%
11/17/2023,"57,063.15","57,503.68","57,750.92","56,977.02",363423269,-0.58%
11/16/2023,"57,397.02","56,838.66","57,549.26","56,531.53",359819193,1.26%
11/15/2023,"56,680.06","56,793.35","56,846.67","56,433.04",306609297,0.02%
11/14/2023,"56,665.93","56,732.99","56,873.98","56,118.17",254947086,0.25%
11/13/2023,"56,523.58","55,644.68","56,583.59","55,644.67",300340813,2.04%
11/10/2023,"55,391.36","54,371.75","55,506.32","54,371.74",372159237,2.08%
11/08/2023,"54,261.42","53,720.46","54,419.65","53,720.45",259130534,0.98%
11/07/2023,"53,735.73","53,977.16","54,312.89","53,711.46",245992417,-0.23%
11/06/2023,"53,860.36","53,286.64","53,944.89","53,166.85",269425259,1.39%
11/03/2023,"53,123.03","52,916.99","53,263.07","52,782.21",215903590,0.89%
11/02/2023,"52,656.76","52,421.09","52,706.00","52,239.58",182955195,0.60%
11/01/2023,"52,342.63","52,075.16","52,451.20","52,075.16",258168972,0.81%
10/31/2023,"51,920.27","51,633.00","52,088.70","51,508.57",252190357,0.85%
10/30/2023,"51,482.92","50,971.84","51,501.82","50,971.84",137421764,1.06%
10/27/2023,"50,943.83","51,219.11","51,269.73","50,834.72",178178531,-0.47%
10/26/2023,"51,185.28","51,341.92","51,520.68","51,140.64",175300260,0.02%
10/25/2023,"51,177.13","51,023.31","51,483.84","51,023.31",215696389,0.29%
10/24/2023,"51,027.94","51,121.92","51,121.92","50,624.38",145554910,-0.08%
10/23/2023,"51,070.82","50,924.38","51,419.86","50,924.37",188079460,0.67%
10/20/2023,"50,731.86","50,417.99","50,952.67","50,332.75",210055910,0.73%
10/19/2023,"50,365.15","49,487.16","50,399.92","49,436.92",249126199,1.89%
10/18/2023,"49,431.47","49,496.19","49,740.97","49,383.71",157191807,-0.20%
10/17/2023,"49,531.01","49,792.49","50,017.45","49,508.41",221287157,-0.40%
10/16/2023,"49,731.35","49,705.41","49,919.03","49,317.59",296340716,0.48%
10/13/2023,"49,493.47","48,821.58","49,520.37","48,767.59",369813447,1.48%
10/12/2023,"48,771.71","48,520.71","48,830.26","48,359.37",223229778,0.61%
10/11/2023,"48,474.54","48,210.60","48,516.64","48,208.30",275943536,0.69%
10/10/2023,"48,140.27","47,752.69","48,166.36","47,708.11",169366744,0.88%
10/09/2023,"47,721.79","47,376.59","47,775.72","47,217.74",116346026,0.48%
10/06/2023,"47,493.57","47,545.30","47,619.25","47,402.57",116567496,0.09%
10/05/2023,"47,452.38","47,152.98","47,484.56","47,152.98",182435686,0.79%
10/04/2023,"47,079.83","46,760.83","47,199.50","46,748.79",100274648,0.69%
10/03/2023,"46,756.80","46,685.93","46,820.71","46,670.78",95173296,0.28%
